店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
インド料理 モティマハル,050-5489-0762,,新潟県,見附市今町,4-57-3,,https://r996400.gorp.jp/,TRUE
浦和 椿山荘,050-5484-4663,,埼玉県,さいたま市浦和区,高砂2-1-19,浦和ワシントンホテル12F,https://g874205.gorp.jp/,TRUE
地酒と和食 吟味 金山駅前店,050-5487-6292,,愛知県,名古屋市熱田区,金山1-16-6,,https://nbje934.gorp.jp/,TRUE
炭火焼ブルスタ BLUSTA 大河原店,050-5494-3183,,宮城県,柴田郡大河原町,新南59-4,,https://ta52200.gorp.jp/,TRUE
仙台牛と和風個室 すていき小次郎,050-5486-2309,,宮城県,仙台市青葉区立町,15-3,,https://steak-kojiro.gorp.jp/,TRUE
鉄板焼き 暫 本通店,050-5488-5458,,広島県,広島市中区,本通4-2,,https://ya68500.gorp.jp/,TRUE
酒場JINZA,050-5486-1364,,石川県,小松市栄町,4,,https://r981300.gorp.jp/,TRUE
鮨×ＢＡＲ えぞ寿し,050-5493-3377,,北海道,岩見沢市,3条西4-6,Ezoya3条別邸1F,https://ha0x903.gorp.jp/,TRUE
くれオイスターランド,050-5488-7315,,広島県,呉市宝町,2-62,,https://ya6d100.gorp.jp/,TRUE
牛たん炭焼 利久 泉本店,022-372-4811,,宮城県,仙台市泉区,八乙女中央2-1-18,,,
清交倶楽部～SEIKO CLUB～,050-5484-1706,,兵庫県,姫路市下寺町,43,姫路商工会議所,https://seikoclub.gorp.jp/,TRUE
魚民 小杉南口駅前店,0766-56-3988,,富山県,射水市,三ケ2602,アル・プラザ小杉 別棟1F,https://r042344.gorp.jp/,TRUE
龍福小籠堂 NU茶屋町店,050-5486-0298,,大阪府,大阪市北区茶屋町,10-12,NU茶屋町8Ｆ,https://k752016.gorp.jp/,TRUE
宮崎尾崎牛のくらした,050-1808-7396,,宮崎県,宮崎市,橘通西3-3-17,ミッキービル1F,https://fbne000.gorp.jp/,TRUE
鮮魚と天ぷら 魚MARU,050-5485-4307,,宮城県,仙台市青葉区,中央3-5-1,T＆Iビル2F,https://sendai-uomaru.gorp.jp/,TRUE
鮨 博多まつもと 八重洲店,050-5484-7324,,東京都,中央区,日本橋2-3-18,石黒由賢ビルB1,https://gf11450.gorp.jp/,TRUE
まるや本店 中部国際空港店,050-5487-7739,,愛知県,常滑市,セントレア1-1,中部国際空港セントレア4F,https://n658406.gorp.jp/,TRUE
個室居酒屋 地鶏坊主 岡崎駅前店,050-5487-2261,,愛知県,岡崎市羽根町,東荒子41-8,My Station Okazaki4F,https://n169615.gorp.jp/,TRUE
黒毛和牛たき肉 炙屋,050-5488-9195,,鹿児島県,薩摩川内市神田町,5-5,1F,https://fbya501.gorp.jp/,TRUE
南城食堂酒場 かりゆし,050-5494-6981,,沖縄県,南城市,大里古堅911-1,1F,https://fc34600.gorp.jp/,TRUE
千里,095-881-0555,,長崎県,西彼杵郡時津町,浦郷270-15,,https://fbrv400.gorp.jp/,TRUE
魚とおばんざい～泉士 SENJI～ ＆角打ち～コ吟 COGIN～,050-5484-3918,,愛知県,名古屋市東区,泉1-9-26,,https://la-goo.gorp.jp/,TRUE
全席個室 居酒屋 九州料理 かこみ庵 佐世保下京町店,050-5487-4529,,長崎県,佐世保市下京町,4-3,,https://fahv839.gorp.jp/,TRUE
昼からワイン食堂,050-5494-3864,,岡山県,岡山市北区磨屋町,2-2,,https://y895202.gorp.jp/,TRUE
大衆酒場 やがて商店,050-5492-3697,,鹿児島県,霧島市,国分中央3-7-24,,https://fbfm102.gorp.jp/,TRUE
見附居酒屋 集,050-5485-3783,,新潟県,見附市本町,2-6-19,1F,https://ra0g000.gorp.jp/,TRUE
ウェスティンホテル仙台26F レストランシンフォニー,050-5486-4072,,宮城県,仙台市青葉区一番町,1-9-1,ウェスティンホテル仙台26F,https://ta8x800.gorp.jp/,TRUE
和風だいにんぐ茶山,050-5488-5909,,北海道,標津郡中標津町,西1条北1-3,,https://h574300.gorp.jp/,TRUE
うおとら ～ 鯱,050-5484-3919,,愛知県,半田市岩滑中町,3-101,,https://uotora.gorp.jp/,TRUE
うおとら ～ 鯱,050-5484-3919,,愛知県,半田市岩滑中町,3-101,,https://uotora.gorp.jp/,TRUE
伊達のいろり焼 蔵の庄 総本店 （仙台駅前）,050-5485-6573,,宮城県,仙台市青葉区,中央1-8-38,AKビル4F,https://t021209.gorp.jp/,TRUE
近江牛 咲蔵,050-5485-3414,,滋賀県,守山市,守山1-10-2,,https://oumigyusakura.gorp.jp/,TRUE
いけす漁場,050-5486-1575,,愛知県,名古屋市東区,東桜2-17-15,,,
恵比寿茶屋,050-5484-3765,,神奈川県,足柄下郡湯河原町,中央1-1627-15,,https://ebisuchaya.gorp.jp/,TRUE
京都祇園 天ぷら 八坂 圓堂,050-5484-5921,,京都府京都,市東山区八坂通東大路西入ル小松町,566,,https://k461300.gorp.jp/,TRUE
シェフズ レシピ,050-5485-6122,,青森県,弘前市大町,1-1-2,,https://chefsrecipe.gorp.jp/,TRUE
居酒屋 ふくみみ 志布志店,099-472-5100,,鹿児島県,志布志市志布志町,志布志2-11-8,,https://fb6j602.gorp.jp/,TRUE
しゃぶしゃぶ すき焼き食べ放題 和牛と豚 心斎橋店,06-4400-4788,,大阪府,大阪市中央区,東心斎橋2-5-8,京屋ビル2F,https://kd0a310.gorp.jp/,TRUE
梅の花 栄店,050-5488-1344,,愛知県,名古屋市中区,栄5-2-36,松坂屋パークプレイスビル12F,https://n007111.gorp.jp/,TRUE
鉄板焼 大,050-5484-2156,,栃木県,小山市,城東1-18-13,,https://teppanyakidai.gorp.jp/,TRUE
魚将 さかなちゃん,050-5485-2625,,鹿児島県,鹿児島市樋之口町,9-3,,https://f115600.gorp.jp/,TRUE
鮨和食 紅炉庵,06-4397-6666,,大阪府,大阪市中央区,難波4-3-21,,https://k324853.gorp.jp/,TRUE
花かぐら,050-5492-5177,,東京都,新宿区,神楽坂3-1,,https://g823800.gorp.jp/,TRUE
酒場食堂 伊とう,050-5489-4052,,新潟県,燕市吉田旭町,1-4-17,,https://ra0j300.gorp.jp/,TRUE
TO THE HERBS 目黒店,050-5484-4465,,東京都,品川区,上大崎3-1-1,アトレ目黒2F,https://tthmeguro.gorp.jp/,TRUE
天ぷらとおでん 個室居酒屋 天串 （TENGUSHI） 金山駅前店,050-5488-1539,,愛知県,名古屋市中区,金山4-6-9,金山小町,https://n244925.gorp.jp/,TRUE
